ticker,total_news,avg_sentiment,positive_news,neutral_news,negative_news,avg_confidence,latest_price,avg_price,avg_volume
AAPL,36,-0.06704511576228672,5,23,8,0.8292583856317732,299.2300109863281,299.0082751858619,49435227.741935484
AMD,1,-0.5660317540168762,0,0,1,0.5660317540168762,,,
AMZN,7,-0.025341263839176724,1,5,1,0.7681634426116943,,,
ANTHROPIC,7,-0.07014226913452148,1,4,2,0.8170818941933768,,,
ARM,6,0.15398523211479187,1,5,0,0.8382593095302582,,,
BP,3,0.0,0,3,0,0.7052002251148224,,,
C,1,0.0,0,1,0,0.8953465819358826,,,
COHERE,1,0.9301836490631104,1,0,0,0.9301836490631104,,,
DIS,2,0.0,0,2,0,0.6891885101795197,,,
F,1,0.0,0,1,0,0.931246817111969,,,
GM,1,0.0,0,1,0,0.9135843515396118,,,
GOOGL,14,-0.04702549321310861,1,11,2,0.8164792827197483,,,
INTC,2,0.0,0,2,0,0.7242646515369415,,,
META,3,0.0,0,3,0,0.8592853943506876,,,
MSFT,47,-0.08712230717882197,3,36,8,0.8526045007908598,392.385009765625,416.10329117313506,34997978.29032258
NIO,5,0.020668601989746092,1,3,1,0.8692069053649902,,,
NVDA,40,0.22964624911546708,12,27,1,0.8663023665547371,209.5399932861328,213.73912934334047,164146572.9032258
OPENAI,5,0.2932822585105896,2,3,0,0.8180962204933167,,,
ORCL,1,-0.9746345281600952,0,0,1,0.9746345281600952,,,
QCOM,2,0.0,0,2,0,0.8375328481197357,,,
SONY,1,0.0,0,1,0,0.9223570823669434,,,
TSLA,34,-0.11020238083951614,2,25,7,0.767283658770954,407.0199890136719,416.1445164834299,50665165.48387097
TSM,2,-0.481965035200119,0,1,1,0.8750319182872772,,,
UBER,1,0.0,0,1,0,0.9069495797157288,,,
UNKNOWN,103,0.06585391458955783,17,77,9,0.8298021254030247,,,
